Type	Name	Image	W Status	Probability	Description	Occurrence						Notes
						CO11	CO12	CO13	CO14	CO15	CO16	
After-Combat Effects	High-Spirited	#VALUE!	Yes	5	Gains [DMG Up V] (DMG +25%) after combat, lasting for 1 turn		2	2	3	2	2	"Two-handed weapons and backpack weapons only.
The same buff effect cannot stack"
After-Combat Effects	High-Spirited	#VALUE!	No	4	Gains [DMG Up V] (DMG +25%) after combat, lasting for 1 turn		6	6				The same buff effect cannot stack
After-Combat Effects	Short Circuit	#VALUE!	No	4	"After combat, deals Fixed DMG equal
to a total of 0.4x Weapon ATK to all parts of target "				6	6	6	
After-Combat Effects	Energized	#VALUE!	Yes	5	"Gains [Hit Rate Up V] (Hit Rate +20%) after combat,
lasting for 1 turn"					1	2	"Two-handed weapons and backpack weapons only.
The same buff effect cannot stack"
After-Combat Effects	Energized	#VALUE!	No	4	"Gains [Hit Rate Up V] (Hit Rate +20%) after combat,
lasting for 1 turn"	11	6	5	6	6	6	The same buff effect cannot stack
After-Combat Effects	Innervate	#VALUE!	Yes	5	"Gains [Crit Rate Up IV] (Crit Rate +25%) after combat,
lasting for 1 turn"			1	1			"Two-handed weapons and backpack weapons only.
The same buff effect cannot stack"
After-Combat Effects	Innervate	#VALUE!	No	4	"Gains [Crit Rate Up IV] (Crit Rate +25%) after combat,
lasting for 1 turn"		5					The same buff effect cannot stack
After-Combat Effects	Emergency	#VALUE!	Yes	7	"Restores 10% of HP after combat.
Can take effect only 1 time per turn"			1				"Two-handed weapons and backpack weapons only.
Only triggers once per turn"
After-Combat Effects	Emergency	#VALUE!	No	5	"Restores 10% of HP after combat.
Can take effect only 1 time per turn"		6				6	Only triggers once per turn
After-Combat Effects	Reconstruction	#VALUE!	No	4	"Gains [Reconstruction III] (Repair AMT +25%) after combat,
lasting for 1 turn"					6	6	"Buff effects of the same type cannot stack.
Only triggers once per turn"
After-Combat Effects	Ballistics Block	#VALUE!	No	4	"After combat, puts the target's Tactical Weapon into a reloading state
and deals 5% of Max HP as [Fixed DMG] to all its parts"				4	4	2	"Not triggerable by Tactical Weapons.
Only triggers once per turn"
After-Combat Effects	Blur	#VALUE!	No	1	Gains [Blur III] (Dodge Rate +35%) after combat, lasting for 1 turn				5	5	6	"Buff effects of the same type cannot stack.
Only triggers once per turn"
After-Combat Effects	Reorganized	#VALUE!	Yes	8	"After combat, restores HP equal to 30% of damage dealt in this skirmish.
Can take effect only 1 time per turn"						2	"Cannot trigger on missed attacks.
Two-handed weapons and backpack weapons only.
Only triggers once per turn"
After-Combat Effects	Reorganized	#VALUE!	No	6	"After combat, restores HP equal to 30% of damage dealt in this skirmish.
Can take effect only 1 time per turn"	11	5	6	5	5	6	"Cannot trigger on missed attacks.
Only triggers once per turn"
After-Combat Effects	Shudder	#VALUE!	Yes	2	"Inflicts [Dodge Rate Down V] (Dodge Rate -20%) on the target
after combat, lasting for 1 turn"				3	2	2	"The same debuff effect cannot stack.
Two-handed weapons and backpack weapons only.
Only triggers once per turn"
After-Combat Effects	Shudder	#VALUE!	No	1	"Inflicts [Dodge Rate Down V] (Dodge Rate -20%) on the target
after combat, lasting for 1 turn"		5	5	6			"The same debuff effect cannot stack.
Only triggers once per turn"
After-Combat Effects	Solidarity	#VALUE!	No	3	After combat, replicates 1 buff to 1 ally within 1 adjacent tile			6	6	6	6	The same buff effect cannot stack
After-Combat Effects	Thrive	#VALUE!	Yes	7	After combat, dispels 1 debuff from self						2	"Two-handed weapons and backpack weapons only.
Only triggers once per turn"
After-Combat Effects	Thrive	#VALUE!	No	5	After combat, dispels 1 debuff from self			6	6	6		Only triggers once per turn
After-Combat Effects	Frustration	#VALUE!	No	1	Reduces the target pilot's Suitability by 15% for 1 turn						6	"The same buff effect cannot stack.
Only triggers once per turn"
After-Combat Effects	Transcendent	#VALUE!	No	3	After combat, randomly extends the [Turns Left] of 2 buffs on self by 1						6	"The same buff effect cannot stack.
Only triggers once per turn"
In-Combat Effects	Broken Arm	#VALUE!	Yes	7	DMG +40% against Arms		2	3	1	2	2	Two-handed weapons and backpack weapons only
In-Combat Effects	Broken Arm	#VALUE!	No	5	DMG +40% against Arms	5	6	6				
