Type	Name	Image	W Status	Probability	Description	Occurrence						Notes
						CO11	CO12	CO13	CO14	CO15	CO16	
AP Related	Discharge	#VALUE!	Yes	5	When executing skills that cost 4 or more AP		2	2				Two-handed weapons and backpack weapons only
AP Related	Discharge	#VALUE!	No	4	When executing skills that cost 4 or more AP	6	4					
Attack Result	Break	#VALUE!	Yes	8	When initiating combat and breaking a part					1		"Only for Two-Handed Weapon use.
Not triggerable by Tactical Weapons"
Attack Result	Break	#VALUE!	No	7	When initiating combat and breaking a part	6	3	5				Not triggerable by Tactical Weapons
Attack Result	Excitement	#VALUE!	No	6	When initiating combat if landing a critical hit						4	Not triggerable by Tactical Weapons
Attack Type	Collaborate	#VALUE!	Yes	4	When launching a Link Attack			3	1	2	1	"Only for Two-Handed Weapon use.
Not triggerable by Tactical Weapons.
Not triggerable by Melee Weapons"
Attack Type	Collaborate	#VALUE!	No	3	When launching a Link Attack	7	6	4	4	5		Not triggerable by Melee Weapons
Attack Type	Combo	#VALUE!	Yes	4	When triggering a Flurry Strike or Gusty Strike		2	1	1	1	2	"Only for Two-Handed Weapon use.
Not triggerable by Tactical Weapons"
Attack Type	Combo	#VALUE!	No	3	When triggering a Flurry Strike or Gusty Strike		6	5	4	5	5	Not triggerable by Tactical Weapons
Attack Type	Invasion	#VALUE!	Yes	6	When actively executing an AoE Skill		2	2	1	1	2	Two-handed weapons and backpack weapons only
Attack Type	Invasion	#VALUE!	No	4	When actively executing an AoE Skill	4	4	4	5			
Attack Type	Retaliation	#VALUE!	Yes	4	When retaliating			1	1	1	2	"Only for Two-Handed Weapon use.
Not triggerable by Tactical Weapons"
Attack Type	Retaliation	#VALUE!	No	3	When retaliating	7	5	4	4	3		Not triggerable by Tactical Weapons
Attack Type	Vigilant	#VALUE!	Yes	4	When triggering Vigilant Shot						1	"Ranged Weapons only.
Two-handed weapons and backpack weapons only"
Attack Type	Vigilant	#VALUE!	No	3	When triggering Vigilant Shot	2	2					Ranged Weapons only
Attack Type	Swift Strike	#VALUE!	No	3	When triggering [Re-ATK]						5	
Attack Type	Code Lock	#VALUE!	No	4	When actively attacking, if any code skill is on cooldown			5	6	6	6	
Attack Type	Synergy	#VALUE!	No	4	When attacking with two weapons simultaneously					5	6	Cannot be triggered by Two-Handed Weapons
Damage Taken	Defend	#VALUE!	No	3	When the shield-bearing Arm is attacked		1	2	1	2	2	Shield Weapons only
Distance Related	Oppress	#VALUE!	Yes	6	When initiating combat, if the target cannot retaliate		3	2	1			"Only for Two-Handed Weapon use.
Not triggerable by Tactical Weapons"
Distance Related	Oppress	#VALUE!	No	5	When initiating combat, if the target cannot retaliate	3	5					Not triggerable by Tactical Weapons
Distance Related	Duel	#VALUE!	No	6	When initiating combat, if the target can retaliate						2	Not triggerable by Tactical Weapons
Distance Related	Expanse	#VALUE!	No	8	When actively attacking targets that are 4 or more tiles away				3	2	2	"Not triggerable by Tactical Weapons.
Not triggerable by Melee Weapons"
Distance Related	Restrain	#VALUE!	No	4	When actively attacking targets within 3 tiles			5	3			Not triggerable by Tactical Weapons
Distance Related	Dogfight	#VALUE!	No	6	When initiating combat against a target within 1 adjacent tile					5	4	Not triggerable by Tactical Weapons
Hit Related	Accurate	#VALUE!	Yes	5	When initiating combat, if Hit Rate exceeds 80%					1	2	"Only for Two-Handed Weapon use.
Not triggerable by Tactical Weapons"
Hit Related	Accurate	#VALUE!	No	4	When initiating combat, if Hit Rate exceeds 80%	3	3	4	3	5	6	Not triggerable by Tactical Weapons
HP Related	Annihilate	#VALUE!	Yes	9	When initiating combat, if target’s HP is lower than 50%				1	1		"Only for Two-Handed Weapon use.
Not triggerable by Tactical Weapons"
HP Related	Annihilate	#VALUE!	No	8	When initiating combat, if target’s HP is lower than 50%	3	5	5				Not triggerable by Tactical Weapons
HP Related	Confront	#VALUE!	Yes	5	When actively attacking, if HP is higher than 50%		1	2	3			Two-handed weapons and backpack weapons only
HP Related	Confront	#VALUE!	No	4	When actively attacking, if HP is higher than 50%		5				6	
HP Related	Crisis	#VALUE!	Yes	9	When actively attacking, if HP is lower than 50%			1	1	1	2	Two-handed weapons and backpack weapons only
HP Related	Crisis	#VALUE!	No	8	When actively attacking, if HP is lower than 50%	11	6	6	6	6		
HP Related	Spring	#VALUE!	Yes	6	When actively attacking, if HP is at 100%				3	2	2	Two-handed weapons and backpack weapons only
HP Related	Spring	#VALUE!	No	4	When actively attacking, if HP is at 100%		6	6	6	6	6	
HP Related	Tackle	#VALUE!	Yes	5	When initiating combat, if target’s HP is higher than 50%			2				"Only for Two-Handed Weapon use.
Not triggerable by Tactical Weapons"
HP Related	Tackle	#VALUE!	No	4	When initiating combat, if target’s HP is higher than 50%		3	4	4	5	6	Not triggerable by Tactical Weapons
HP Related	Assail	#VALUE!	No	4	When initiating combat, if the target part is not destroyed					4	2	Not triggerable by Tactical Weapons
Movement Related	Equanimity	#VALUE!	Yes	6	Before actively attacking without having moved this turn			3	3	1	2	Two-handed weapons and backpack weapons only
Movement Related	Equanimity	#VALUE!	No	4	Before actively attacking without having moved this turn		5	5	6			
Movement Related	Rush	#VALUE!	No	6	"If distance moved before actively attacking is
greater than or equal to 4 tiles"				5	6	6	
Special Effects	Obliterate	#VALUE!	No	6	When actively attacking, if the target has 3 or more debuffs				4	4		Not triggerable by Tactical Weapons
Special Effects	Prevail	#VALUE!	Yes	7	When actively attacking, if possessing 3 or more buffs						2	Two-handed weapons and backpack weapons only
Special Effects	Prevail	#VALUE!	No	6	When actively attacking, if possessing 3 or more buffs			6	6	6	6	
