Patch	AC	Name	Image	Pilot	Equipped Ability			Carried Ability			Used Ability
					Name	Image	Description	Name	Image	Description	Name	Image	Description
1.2	2	Fate's Aria	#VALUE!	Rosa	Expansion	#VALUE!	"Machine Gun Bullets +1. This effect does not stack.
When equipped with two Machine Guns,
upgrades [Link Attack] to [Twin-Gun Link Attack]"	Mega Form	#VALUE!	"Enhanced [Prototype]: When executing a dual Machine Gun skill
to initiate combat, gains [Hit Rate UP II] and [Crit Rate UP II]
before combat, lasting for 2 turns. Also triggers [Flurry Strike]
 with the opposite Arm after the enemy retaliates, dealing 0.4 (0.5)x DMG"	Sway	#VALUE!	"After actively attacking, if a part is destroyed,
moves an additional 2 tiles after combat.
Effective only with the current weapon"
1.2	2	Sandwich Cookie	#VALUE!	Seven	Hotfix	#VALUE!	When triggering [Link Repair], can repair 1 additional destroyed part	Cookie! Cookie!	#VALUE!	"Enhanced [Pochy!]: Pochy can also
execute the [Wide-Range Repair] Code"	"Deflection
Protection"	#VALUE!	"When attacked, the weighting of the DMG Shift effect increases by 50,
and DMG Reduction increases to 15%"
1.2	2	False Obsession	#VALUE!	Catherine	Continuous Axis	#VALUE!	"When attacking with a Polearm, for every 6 targets hit,
restores 1 AP after combat"	Unswerving	#VALUE!	"Enhanced [Unto Death]: when triggered
by [Pursuit], [Cleave] damage multiplier +0.2.
The unit returns to its original position after attacking"	Lingering Fury	#VALUE!	Wielding a Polearm one-handed will not affect Hit Rate
1.3	3	Hunter's Sting	#VALUE!	Camilla	Raid	#VALUE!	"When attacking with two Pile Bunkers,
DMG Dealt +20% and DMG Taken -20%"	Solitary Stance	#VALUE!	"Enhanced [Solitary]: After sortie, gains 3 stacks of [Magnetic Armor],
lasting for 1 turn. When an Arm suffers overdamage,
triggers [Guts] if posessing [Magnetic Armor].
After triggering, removes all stacks of [Magnetic Armor]"	Detonate	#VALUE!	"After dealing damage, inflicts [Fixed DMG]
equal to 15% of Weapon ATK on parts hit"
1.3	3	Magic Flute	#VALUE!	Natalia	Tracker Tuning	#VALUE!	"When using a Sniper Rifle to engage in combat
against targets 3 or more tiles away, Hit Rate +10% and DMG +10%.
For each additional tile, both effects increase by 5%, up to 25% each"	Intel Preparations	#VALUE!	"Enhanced [Intel Collection]: [Intel Collection] additionally restores 1 AP.
When an ST is destroyed within range,
gains 5% additional Crit Rate, up to 25%"	Steady Aim	#VALUE!	"Before a Normal Attack, if no movement has occurred this action,
enters [Aiming] Mode for this attack. Can trigger up to 3 times per turn"
1.3	3	Cold Stele	#VALUE!	Yevgeny	Adaptive Frame	#VALUE!	"Gains 1 stack of [Retaliation DMG UP] each time
Shield loses 33% of Max HP. Stacks up to 5 times"	Preempting	#VALUE!	"Enhanced [Initiative]: [Quick Draw] and [Add Strike] have no trigger limit.
After combat, restores HP to a single Arm,
prioritizing the Arm with the shield, equal to 25% of damage dealt"	Pressed Plate	#VALUE!	Shield DMG Reduction effect is increased to 20%
1.4	4	Bahamut	#VALUE!	William	Hyperfire	#VALUE!	"When Heavy Machine Gun's range increases,
Ideal Range expands by that same distance"	Doomed Brigade	#VALUE!	"Enhanced [Fearless Army]: For every enemy within range,
gains Bullets +1, up to +4.
When an Arm is destroyed, does not exit [Rack] Mode"	Catharsis	#VALUE!	Wielding a Heady Machine Gun one-handed does not affect Hit Rate
1.4	4	Veiled Scent	#VALUE!	Sylvie	Exhort	#VALUE!	"Increases [Vigilant Shot] damage multiplier by 0.35.
If a part is destroyed by [Vigilant Shot], restores 1 AP after combat.
Can only trigger 1 time per turn"	May Flourish	#VALUE!	"Enhanced [Epiphyllum Move]: When in [Aiming] Mode, DMG +20%.
If the target part is undestroyed, DMG is further increased by 10%.
When equipped with a Small Shield,
can move with full movement after destroying the target"	Tranquility	#VALUE!	"When initiating combat, if the target cannot retaliate,
gains Hit Rate +10% and Crit Rate +10% for this attack"
1.4	4	Cooool!	#VALUE!	Naomi	Stationary	#VALUE!	"Before attacking with a Missile Launcher,
if no movement has occurred this action, DMG +30%"	Amazing Laptop	#VALUE!	"Enhanced [Elite Hacker]: When executing [Salvo]-style skills,
Splash DMG +25%. Gains [Energy Optimization].
Can trigger 1 time per turn"	External Ammo	#VALUE!	"When a Missile Launcher runs out of Ammo,
it automatically reloads all Ammo.
This effect can only trigger 1 time per battle"
1.5	5	Lucent	#VALUE!	Shawnee	Ammo Surplus	#VALUE!	"When attacking with a Rail Gun, for every 1 Ammo in the Magazine,
DMG +6%, up to 30%"	Renewal	#VALUE!	"Enhanced [Dawnstar Tech]: When enemy units end their action,
can use a Rail Gun to trigger [Vigilant Shot],
dealing 0.35x DMG to all targets within attack range.
Unlocking [Forbidden Zone 2] increases the same number of times.
When using Rail Gun for consecutive attacks, DMG +10%.
Stacks up to 3 times. Resets after taking action"	Ammo Recycling	#VALUE!	"When actively attacking with a Rail Gun, if a part is destroyed,
reloads 1 Ammo after combat.
This effect can trigger again after an interval of 1 turn"
1.5	5	RA-09	#VALUE!	Eileen	Planning	#VALUE!	When actively attacking with both Rocket Launchers, Crit Rate +50%	Eternal Flame	#VALUE!	"Enhanced [Unceasing Thunderfire]: When attacking
with a Rocket Launcher, the effect triggers when hitting 2 or more targets.
When actively attacking with a Rocket Launcher, DMG +25%
against parts with HP greater than or equal to 50%"	Initiation	#VALUE!	"When attacking with the first Ammo shell in the Magazine,
Hit Rate +10% and DMG +10%"
1.5	5	Cinder	#VALUE!	Marcus	Stride	#VALUE!	"When moving 4 or more tiles before initiating combat,
Shotgun Bullets +3"	Rush	#VALUE!	"Enhanced [Brave Advance]: When triggering [Re-ATK]
or using [Chaser], can move an extra 2 tiles.
DMG +35% during [Re-ATK]"	Thwart	#VALUE!	When actively attacking, if retaliated against, DMG Taken -20%
1.6	6	Kagutsuchi	#VALUE!	Erisa	Chain Blaze	#VALUE!	"When attacking with a Flamethrower, DMG +20%
against targets on [Burning Terrain]"	Whoosh!	#VALUE!	"Enhanced [Hot! Hot! Hot!]: At end of action, applies [Burning Terrain]
to tiles along the path of this action, lasting for 2 turns.
For each 1 tile of [Burning Terrain] applied, gains 1 stack of [Heating Up].
Can stack up to 15 times. If on [Burning Terrain],
Flamethrower Bullets +1 and Flame DMG multiplier +10%"	"Piercing Flame
Stream"	#VALUE!	When initiating combat, the trail of [Flame DMG] is extended by 1 tile
1.6	6	Sivri	#VALUE!	Gumusiay	Crush and Break	#VALUE!	"When actively attacking with a Polearm, DMG increases
by 7.5% for each debuff on the target, up to 30%"	Lunar Snare	#VALUE!	"Enhanced [Lunar Snare]: At start of action, if there are 3 or more
enemy units within aura range, this unit gains 1 AP. If there are
enemies within aura range affected by [Crash] or [Intimidation],
DMG +15%, DMG Taken -15%"	"Effortless
Command"	#VALUE!	"When in combat with a target in a diagonal direction,
Hit Rate and Crit Rate +12%"
1.7	7	"Power of the
Mahalim"	#VALUE!	Lorna	Frontline Repair	#VALUE!	"Repair AMT of [Salvage Repair] is further increased
by 0.35x Manipulator Repair AMT"	Vital Surge	#VALUE!	"Enhanced [Stay Lit!]: After executing a single-target repair skill,
grants the target [Crit Rate Up I] and [Hit Rate UP II], lasting for 1 turn.
If there is AP remaining, transfers 1 AP to the target"	"Maintenance
Spares"	#VALUE!	"When attacked, damage shift weighting is increased by
an additional 50. After being attacked, restores 20% HP
to equipped Arm parts. Cannot repair destroyed parts"
1.7	7	Storm Stiller	#VALUE!	Hong	Unrestrained	#VALUE!	"When attacking with a Pile Bunker and landing a critical hit,
gains 1 AP. Can trigger 1 time per turn"	Untamed Soul	#VALUE!	"Enhanced [Extreme Will]: [Euphoria] stack cap increased by 2.
At start of action, gains 1 stack of [Euphoria].
When possessing 3 or more stacks of [Euphoria],
the [Flurry Strike] effect triggered by this unit is replaced
with [Gusty Strike], and [Gusty Strike] DMG +35%"	Demolish	#VALUE!	When attacking a part with 60% HP or higher, DMG Dealt +15%
2.0	8	"Twilight of the
Gods"	#VALUE!	Judgement	"Airspace
Domination"	#VALUE!	"When equipped by a pilot with [Hyper-Aptamer] Suitability,
Cutter Weapon Range +1 and DMG +20%"	Brynhild	#VALUE!	"Enhanced [Valkyrie]: Activates flight functionality,
ignoring low obstacles and enemy unit obstruction
while moving. [Valhalla's Call] duration +1 turn.
In [Valhalla's Call] Mode, Cutter Ammo +2"	"Sustainability
Protocol"	#VALUE!	"Maximum Cutter Ammo +1. When using Cutter
to actively attack 4 or more targets, reloads 1 Ammo after combat.
This effect can trigger 1 time every 2 turns"
2.0	8	Venus MK47	#VALUE!	Kelly	Heatwave	#VALUE!	"After landing a critical hit with a Sniper Rifle active attack,
the next active attack's AP Cost -1 (minimum 1 AP).
Can trigger 1 time per turn"	Stork's Gaze	#VALUE!	"Enhanced [White Stork]: When possesing [Improved Fire],
the skill multiplier during attacks is increased from 0.15 to 0.2.
Before using normal attacks, [Tracking Shot], and [Shower],
can enter [Aiming] Mode. When actively attacking with a Sniper Rifle,
if this unit has not moved before attacking, Crit Rate +15% for this attack"	Hold Your Breath	#VALUE!	When in [Aiming] Mode, DMG Dealt +15%
2.0	8	Dawnstar Rampart	#VALUE!	Diracca	Fight Fire With Fire	#VALUE!	"When retaliating, DMG increased by current DMG Taken Down effect.
Retaliaion DMG +1.5% for every 1% DMG Taken Down, up to 100%"	Unbroken	#VALUE!	"Enhanced [Stand Behind Me!]: When triggering [Selfless Guard],
also triggers [Reckless Retaliation], and balances the percentage HP
of all undestroyed parts after combat with [Balance].
Gains 1 stack of [Standing Tall] before retaliation, up to 3 stacks.
Removed at the start of the next action"	"Arm Wrestling
Champion"	#VALUE!	When the Shield Arm's HP is below 60%, Repair AMT Received +25%
	9		#VALUE!	Dean		#VALUE!	"When attacking with a Chainsaw, for every 1 part broken,
gains 1 stack of [Chainsaw Heat Up], up to 3 stacks.
At the end of action, removes 1 stack
(Unofficial Translation)"		#VALUE!	"Enhanced [Courage Burst]: [Vigor] stack cap increased by 5.
At the start of battle, gains 5 stacks of [Vigor]. After actively attacking,
if posessing 10 or more stacks of [Vigor], restores 1 AP after combat.
Can trigger 1 time per turn
(Unofficial Translation)"		#VALUE!	"When attacking, if the part hit does not have full HP,
DMG Dealt +20% to that part
(Unofficial Translation)"
	9		#VALUE!	Frida		#VALUE!	"When initiating combat with a Shotgun,
if the target is 1 tile away, DMG +25%
(Unofficial Translation)"		#VALUE!	"Enhanced [Secret Execution]: When inflicting [Instability II],
instead inflict [Instability III]. For each stack, target DMG Dealt -3%.
When initiating combat with a Shotgun,
if the target has 3 or more stacks of [Instability],
uses all Shotguns to launch [Re-ATK], dealing 0.15x DMG
(Unofficial Translation)"		#VALUE!	"When initiating combat, ignores 30% of target's Armor
(Unofficial Translation)"
	10		#VALUE!	Fia		#VALUE!	"When actively attacking with a Rail Gun,
if the target possessess debuffs, DMG +20%
(Unofficial Translation)"		#VALUE!	"Enhanced [Perfectionism]: When deploying a [Tokamak Sphere],
redirects attacks to the selected direction and 2 adjacent directions,
and redirected damage multipler +0.2.
When actively attacking, if target possesses 5 or more debuffs,
inflicts [Intimidate] after combat, lasting for 1 turn.
When actively attacking, for every 15 debuffs inflicted, restores 1 AP
(Unofficial Translation)"		#VALUE!	"When actively attacking with a Rail Gun, if hitting 3 or more targets,
reloads 1 Ammo after combat.
This effect can trigger again after an interval of 2 turns
(Unofficial Translation)"
	10		#VALUE!	Rei		#VALUE!	"After combat, if the Shield Arm is broken,
immediately repair it, and restores 50% HP.
This effect can trigger again after an interval of 3 turns
(Unofficial Translation)"		#VALUE!	"Enhanced[EVA-00 Pilot]: allies within [Guard] range take -25% DMG
from Code and AoE skills. When [Sync Ratio] is above 65%,
DMG Dealt and [Fixed DMG] Dealt +25%
(Unofficial Translation)"		#VALUE!	"Shield base HP increases by 100%
(Unofficial Translation)"
	11		#VALUE!	Cassha		#VALUE!	"After retaliating with a Machine Gun, gains [Momentum]
(Unofficial Translation)"		#VALUE!	"Enhanced [Veiled Razor]: If posessing [Retaliation Enhancement]
and both Arms are intact, can trigger [Guard], protecting allies
within 1 adjacent tile from assault, ranged, and melee attacks.
If also posessing [Turning Point], [Guard] range increases to 2 tiles.
If carrying two Machine Guns,  when triggering [Retaliation]
or [Quick Strike], for every 1 stack of [Retaliation Enhancement],
gains 20% chance to use all Machine Guns
to trigger [Retaliation Pursuit], dealing 0.35x DMG
(Unofficial Translation)"		#VALUE!	"When retaliating, Crit Rate and Hit Rate +15%
(Unofficial Translation)"
	11		#VALUE!	Ophelia		#VALUE!	"After triggering [Execution], inflicts [DMG Down II]
and [DMG Taken Up II] to enemies in 1 tile radius, lasting for 1 turn
(Unofficial Translation)"		#VALUE!	"Enhanced [Σ-04]: When using Alter-Blade to chain attack
the same target, Hit Weighting +50 on the part hit.
This effect is removed after the target acts.
At the start of action, only removes 1 stack of [Critical Sense].
If posessing 3 stacks of [Critical Sense], DMG +15%, DMG Taken -15%
(Unofficial Translation)"		#VALUE!	"When triggering a [Re-ATK], DMG and Hit Rate +10%
(Unofficial Translation)"
	12		#VALUE!	Melissa		#VALUE!	"After actively repairing for 3 times, gains 1 AP
and [Renovate II], lasting for 1 turn
(Unofficial Translation)"		#VALUE!	"Enhanced [Sentinel Ward]: [Repair Synergy]
and [Full-Line Maintenance] can additionally dispel 1 debuff
from the repair target. Every time [Regular Repair] triggers,
dispells 1 debuff
(Unofficial Translation)"		#VALUE!	"When the Shield Arm is attacked, inflicts [Hit Rate Down II]
and [Crit Rate Down II] on the target after combat
(Unofficial Translation)"
	12		#VALUE!	Shinji		#VALUE!	"When actively attacking with a Heavy Machine Gun and breaking a part,
receives 1 random buff after combat, lasting for 2 turns.
Can trigger up to 3 times per turn
(Unofficial Translation)"		#VALUE!	"Enhanced [EVA-01 Pilot]: Heavy Machine Gun Range +1. [Sync Ratio]
correction effect +25%. Every time [Re-ATK]
is triggered, [Sync Ratio] +3%. After actively attacking,
gains [Sync Miracle]. This effect triggers 1 time per turn
(Unofficial Translation)"		#VALUE!	"When actively attacking, DMG +15%. Starting from 1 tile,
for every 1 tile away from the target, DMG +5%, up to 25%
(Unofficial Translation)"
	13		#VALUE!	Arthur		#VALUE!	"When attacking with a Missile Launcher,
if distance from target is 4 or more tiles, DMG Dealt +30%
(Unofficial Translation)"		#VALUE!	"Enhanced [Fiery Will]: At the start of battle, gains 5 stacks
of [Burning Intent]. When the talent triggers [Link Attack]
or when  actively attacking, for every 1 Ammo consumed, gains 1 stack
of [Burning Intent], up to 15 stacks. If posessing 10 or more stacks,
AP Regen +1. Damage multipler +0.1 on targets with [Lock]
for active attacks and [Link attack]
(Unofficial Translation)"		#VALUE!	"After actively attacking with a Missile Launcher,
randomly relaods Ammo to Missile Launchers
equal to the amount spent this action.
This effect can trigger again after an interval of 1 turn
(Unofficial Translation)"
	13		#VALUE!	Tiphys		#VALUE!	"Before being actively attacked, if on allied terrain,
immediately restores 1 AP. Can trigger 1 time per turn
(Unofficial Translation)"		#VALUE!	"Enhanced [Battle-Hardened]: Increased area of deployed terrain
to a 2 tile radius of the selected location. When moving in the terrain,
movement cost -50%. All alied units in the terrain gain DMG +20%.
When allies are actively attacked, all parts cannot receive damage
more than 85% of the highest HP part
(Unofficial Translation)"		#VALUE!	"When the Shield Arm is attacked, DMG Taken -10%,
and Crit DMG Taken -20%
(Unofficial Translation)"
	14		#VALUE!	Fregata		#VALUE!	"When actively attacking with a Flamethrower,
for every 1 buff possessed, DMG +7.5%, up to 30%
(Unofficial Translation)"		#VALUE!	"Enhanced [Kalavinka]: At the start of battle, receive 2 stacks
of [Dual Gun Efficiency]. When in combat with targets in [Ideal Range]
and using two Assault weapons, Final DMG +15%.
After acttively attacking, if posessing 5 or more buffs,
immediately restores 1 AP. Can trigger 1 time per turn
(Unofficial Translation)"		#VALUE!	"When in combat with targets in [Ideal Range],
Crit Rate and Hit Rate +15%
(Unofficial Translation)"
	14		#VALUE!	Asuka		#VALUE!	"When attacking with a Polearm, for every 1 target in the attack range,
DMG +7.5%, up to 30%
(Unofficial Translation)"		#VALUE!	"Enhanced [EVA-02 Pilot]: After actively attacking, if no damage was taken,
DMG of the next active attack +30%, effective immediately.
When actively attacking, for every 1 target destroyed, [Sync Ratio] +1%.
When [Sync Ratio] reaches 80%, Polearm skill multiplier +0.1,
and Code Skill range +1. Machine Gun skill multiplier +0.05
(Unofficial Translation)"		#VALUE!	"If attacking and missing, can still deal 40% of original DMG
(Unofficial Translation)"
	15		#VALUE!	Paloma		#VALUE!	"When actively attacking with a Sniper Rifle and landing a critical hit,
restores 1 AP after combat. Can trigger 1 time per turn
(Unofficial Translation)"		#VALUE!	"Enhanced [Experimental Observation]: [Positional Advantage] stack cap +4.
When attacking with Sniper Rifle in [Directional Rack] Mode,
for every 1 critical hit, gains 1 stack of [Positional Advantage].
Every 4 stacks of [Positional Advantage] grants Sniper Rifle
DMG multiplier +0.05. After exiting [Directional Rack],
only remove 8 stacks of [Positional Advantage]
(Unofficial Translation)"		#VALUE!	"When actively attacking, if 3 or more tiles away from the target,
Hit Rate and Crit Rate +15%
(Unofficial Translation)"
	15		#VALUE!	Smith		#VALUE!	"If the Pilot is a Machinist, [Link Attack] trigger chance and range +1
(Unofficial Translation)"		#VALUE!	"Enhanced [Dummy Trick]: When actively repairing allies,
grants [Code DMG Reduction], removed after triggering 1 time.
When triggering [Link Attack], gains 1 stack of [No Time to Lose],
up to 3 stacks. If [Dummy Trick] is triggered,
ally body is immune to [Execution]
(Unofficial Translation)"		#VALUE!	"If the Shield Arm is damaged during combat,
for every 1 debuff the target possesses, DMG Taken -10%, up to -30%
(Unofficial Translation)"
	16		#VALUE!	Rosemary		#VALUE!	"When both Shoulders are equipped with Rocket Launchers,
when actively attacking, DMG Dealt and Hit Rate +20%
(Unofficial Translation)"		#VALUE!	"Enhanced [Helmsman]: [Intel] initial stacks and stack cap +5.
When actively attacking with a Rocket Launcher,
if possessing 15 or more stacks of [Intel], restores 1 AP after combat.
Every [Intel] stack grants +0.4% Crit Rate
(Unofficial Translation)"		#VALUE!	"When actively attacking with a Rocket Launcher,
DMG +20% to parts with 100% HP
(Unofficial Translation)"
	16		#VALUE!	Sapientia		#VALUE!	"If equipped with a Machine Gun and a Shield,
Machine Gun Final DMG +15%, and Final DMG Taken -15%
(Unofficial Translation)"		#VALUE!	"Enhanced [Coexistence Theory]: All parts of [GuGu] gain +15% Max HP,
and gains Code Skill [GuGuts Hero!].
[GuGu] also gains this weapon's other abilities
(Unofficial Translation)"		#VALUE!	"When attacking with a Machine Gun, inflicts 1 stack
of [Fire Control Delay] on the target, up to 5 stacks
(Unofficial Translation)"
	17		#VALUE!	Collin		#VALUE!	"Cutter Max Ammo +1. If the Cutter has attacked 3 times
in the same turn, reloads 1 Ammo after the turn
(Unofficial Translation)"		#VALUE!	"Enhanced [Strategize]: For every 1 ally that possesses [Anointed],
Funnel skill multiplier +0.07. When ally with [Anointed] initiates
combat, the ally is granted [Drone Attack Mode]. Can trigger 1 time
per turn. After ending the turn, if this effect has not been triggered,
grants [Drone Attack Mode] to the lowest HP ally with [Anointed]
(Unofficial Translation)"		#VALUE!	"When attacking with Cutter, ignores 35% of the target's Armor.
For every 1 tile away from the target, DMG +5%, up to 20%
(Unofficial Translation)"
	17		#VALUE!	Veronica		#VALUE!	"After actively attacking with a Light Rifle skill with [Aiming],
restores 1 AP. Can trigger 1 time per turn
(Unofficial Translation)"		#VALUE!	"Enhanced [Trauma Profiling]: For skills with [Aiming],
skill modifier +0.25, Crit Rate +15%.
When actively attacking targets possessing [Battle Damage],
target cannot retaliate. For each target, can trigger 1 time per turn.
Restores 1 AP after the first active attack each turn
(Unofficial Translation)"		#VALUE!	"When actively attacking, for every 1 debuff the target possesses,
DMG Taken by target +5%, up to 25%
(Unofficial Translation)"
	18		#VALUE!	Verna		#VALUE!	"Rail Gun Ammo capacity +1. When attacking with a Rail Gun,
Crit Rate +20%
(Unofficial Translation)"		#VALUE!	"Enhanced [Doctrine of Sin]: When a target initiates combat
against an ally, inflicts [Magnetic Lock-On] on the target.
Can trigger 2 times per turn. When actively attacking with a Rail Gun,
for every 1 target destroyed, reloads 1 Rail Gun Ammo.
Can trigger 3 times per turn. For every 1 time [Magnetic Lock-On]
is inflicted, gains 1 stack of [Magnetic Buff], up to 10 stacks
(Unofficial Translation)"		#VALUE!	"When attacking with a Rail Gun, for every 1 Ammo remaining,
DMG Dealt and Hit Rate +4%, up to 20%
(Unofficial Translation)"
